[00:00:23] [Server thread/INFO]: Singularity7k issued server command: /locate
[00:02:50] [Server thread/INFO]: Singularity7k issued server command: /minecraft:locate structure #better_pyramid:ancient_city
[00:02:51] [Server thread/INFO]: Locating element #better_pyramid:ancient_city (minecraft:ancient_city) took 1232 ms
[00:02:57] [Server thread/INFO]: Singularity7k issued server command: /tp @s 2048 ~ -1728
[00:02:58] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [123, -117], discarding
[00:07:23] [Paper Common Worker #0/ERROR]: Recoverable errors when loading section [105, 3, -91]: (Unknown registry key in ResourceKey[minecraft:root / minecraft:worldgen/biome]: snc:village -> using default)
[00:07:23] [Paper Common Worker #0/ERROR]: Recoverable errors when loading section [105, 4, -91]: (Unknown registry key in ResourceKey[minecraft:root / minecraft:worldgen/biome]: snc:village -> using default)
[00:07:23] [Paper Common Worker #0/ERROR]: Recoverable errors when loading section [105, 5, -91]: (Unknown registry key in ResourceKey[minecraft:root / minecraft:worldgen/biome]: snc:village -> using default)
[00:07:23] [Paper Common Worker #0/ERROR]: Recoverable errors when loading section [105, 3, -90]: (Unknown registry key in ResourceKey[minecraft:root / minecraft:worldgen/biome]: snc:village -> using default)
[00:07:23] [Paper Common Worker #0/ERROR]: Recoverable errors when loading section [105, 4, -90]: (Unknown registry key in ResourceKey[minecraft:root / minecraft:worldgen/biome]: snc:village -> using default)
[00:07:23] [Paper Common Worker #0/ERROR]: Recoverable errors when loading section [105, 5, -90]: (Unknown registry key in ResourceKey[minecraft:root / minecraft:worldgen/biome]: snc:village -> using default)
[00:07:23] [Paper Common Worker #0/ERROR]: Recoverable errors when loading section [105, 3, -89]: (Unknown registry key in ResourceKey[minecraft:root / minecraft:worldgen/biome]: snc:village -> using default)
[00:07:23] [Paper Common Worker #0/ERROR]: Recoverable errors when loading section [105, 4, -89]: (Unknown registry key in ResourceKey[minecraft:root / minecraft:worldgen/biome]: snc:village -> using default)
[00:07:23] [Paper Common Worker #0/ERROR]: Recoverable errors when loading section [105, 5, -89]: (Unknown registry key in ResourceKey[minecraft:root / minecraft:worldgen/biome]: snc:village -> using default)
[00:07:23] [Paper Common Worker #0/ERROR]: Recoverable errors when loading section [105, 3, -88]: (Unknown registry key in ResourceKey[minecraft:root / minecraft:worldgen/biome]: snc:village -> using default)
[00:07:23] [Paper Common Worker #0/ERROR]: Recoverable errors when loading section [105, 4, -88]: (Unknown registry key in ResourceKey[minecraft:root / minecraft:worldgen/biome]: snc:village -> using default)
[00:07:23] [Paper Common Worker #0/ERROR]: Recoverable errors when loading section [105, 5, -88]: (Unknown registry key in ResourceKey[minecraft:root / minecraft:worldgen/biome]: snc:village -> using default)
[00:08:19] [Server thread/INFO]: Singularity7k issued server command: /execute in minecraft:overworld run tp Singularity7k 1549.5 67 -840.5
[00:08:46] [Server thread/INFO]: Singularity7k issued server command: /minecraft:locate structure #hopo:mineshaftsbiomesstructure
[00:08:47] [Server thread/INFO]: Locating element #hopo:mineshaftsbiomesstructure (hopo:mineshaft/biomes/lush_mineshaft) took 675 ms
[00:08:50] [Server thread/INFO]: Singularity7k issued server command: /tp @s 672 ~ -1120
[00:08:50] [Server thread/INFO]: [Singularity7k: Set own game mode to Spectator Mode]
[00:09:41] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_ocean' in chunk [25, -47], discarding
[00:09:44] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_ocean' in chunk [24, -47], discarding
[00:09:44] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_ocean' in chunk [23, -47], discarding
[00:09:46] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_ocean' in chunk [22, -47], discarding
[00:09:46] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_ocean' in chunk [21, -47], discarding
[00:10:14] [Server thread/INFO]: Singularity7k has reached the goal [So we back in the mine...]
[00:10:23] [Server thread/INFO]: Singularity7k has made the advancement [Minecraft: Trial(s) Edition]
[00:10:36] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_ocean' in chunk [25, -46], discarding
[00:10:36] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_ocean' in chunk [24, -46], discarding
[00:10:36] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_ocean' in chunk [23, -46], discarding
[00:10:36] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_ocean' in chunk [22, -46], discarding
[00:10:36] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_ocean' in chunk [21, -46], discarding
[00:10:37] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_ocean' in chunk [25, -45], discarding
[00:10:37] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_ocean' in chunk [24, -45], discarding
[00:10:37] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_ocean' in chunk [23, -45], discarding
[00:10:37] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_ocean' in chunk [22, -45], discarding
[00:10:38] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_ocean' in chunk [21, -45], discarding
[00:10:56] [Server thread/INFO]: [Singularity7k: Set own game mode to Creative Mode]
[00:13:35] [Server thread/INFO]: Singularity7k issued server command: /execute in minecraft:overworld run tp Singularity7k 1549.5 67 -840.5
[00:14:03] [Server thread/INFO]: Singularity7k issued server command: /minecraft:locate structure #hopo:mineshaftsstructure
[00:14:05] [Server thread/INFO]: Locating element #hopo:mineshaftsstructure (hopo:mineshaft/spruce_mineshaft) took 1516 ms
[00:14:09] [Server thread/INFO]: Singularity7k issued server command: /tp @s 2272 ~ -896
[00:14:10] [Server thread/INFO]: [Singularity7k: Set own game mode to Spectator Mode]
[00:19:07] [Server thread/INFO]: [Singularity7k: Set own game mode to Creative Mode]
[00:21:46] [Server thread/INFO]: Singularity7k issued server command: /effect clear
[00:21:46] [Server thread/INFO]: [Singularity7k: Removed every effect from Singularity7k]
[00:22:21] [Server thread/INFO]: Singularity7k issued server command: /execute in minecraft:overworld run tp Singularity7k 1549.5 67 -840.5
[00:22:40] [Server thread/INFO]: Singularity7k issued server command: /minecraft:locate structure #hopo:zmaps/target_cherry
[00:22:50] [Paper Watchdog Thread/ERROR]: --- DO NOT REPORT THIS TO PAPER - THIS IS NOT A BUG OR A CRASH  - 1.21.8-6-782ce95 (MC: 1.21.8) ---
[00:22:50] [Paper Watchdog Thread/ERROR]: The server has not responded for 10 seconds! Creating thread dump
[00:22:50] [Paper Watchdog Thread/ERROR]: ------------------------------
[00:22:50] [Paper Watchdog Thread/ERROR]: Server thread dump (Look for plugins here before reporting to Paper!):
[00:22:50] [Paper Watchdog Thread/ERROR]: ------------------------------
[00:22:50] [Paper Watchdog Thread/ERROR]: Current Thread: Server thread
[00:22:50] [Paper Watchdog Thread/ERROR]: 	PID: 40 | Suspended: false | Native: true | State: RUNNABLE
[00:22:50] [Paper Watchdog Thread/ERROR]: 	Stack:
[00:22:50] [Paper Watchdog Thread/ERROR]: 		java.base@21.0.8/sun.nio.ch.UnixFileDispatcherImpl.pread0(Native Method)
[00:22:50] [Paper Watchdog Thread/ERROR]: 		java.base@21.0.8/sun.nio.ch.UnixFileDispatcherImpl.pread(UnixFileDispatcherImpl.java:57)
[00:22:50] [Paper Watchdog Thread/ERROR]: 		java.base@21.0.8/sun.nio.ch.IOUtil.readIntoNativeBuffer(IOUtil.java:338)
[00:22:50] [Paper Watchdog Thread/ERROR]: 		java.base@21.0.8/sun.nio.ch.IOUtil.read(IOUtil.java:294)
[00:22:50] [Paper Watchdog Thread/ERROR]: 		java.base@21.0.8/sun.nio.ch.IOUtil.read(IOUtil.java:283)
[00:22:50] [Paper Watchdog Thread/ERROR]: 		java.base@21.0.8/sun.nio.ch.FileChannelImpl.readInternal(FileChannelImpl.java:982)
[00:22:50] [Paper Watchdog Thread/ERROR]: 		java.base@21.0.8/sun.nio.ch.FileChannelImpl.read(FileChannelImpl.java:965)
[00:22:50] [Paper Watchdog Thread/ERROR]: 		net.minecraft.world.level.chunk.storage.RegionFile.<init>(RegionFile.java:447)
[00:22:50] [Paper Watchdog Thread/ERROR]: 		net.minecraft.world.level.chunk.storage.RegionFile.<init>(RegionFile.java:422)
[00:22:50] [Paper Watchdog Thread/ERROR]: 		net.minecraft.world.level.chunk.storage.RegionFileStorage.moonrise$getRegionFileIfExists(RegionFileStorage.java:128)
[00:22:50] [Paper Watchdog Thread/ERROR]: 		net.minecraft.world.level.chunk.storage.RegionFileStorage.getRegionFile(RegionFileStorage.java:280)
[00:22:50] [Paper Watchdog Thread/ERROR]: 		net.minecraft.world.level.chunk.storage.RegionFileStorage.scanChunk(RegionFileStorage.java:388)
[00:22:50] [Paper Watchdog Thread/ERROR]: 		net.minecraft.world.level.chunk.storage.ChunkStorage.lambda$chunkScanner$4(ChunkStorage.java:205)
[00:22:50] [Paper Watchdog Thread/ERROR]: 		net.minecraft.world.level.chunk.storage.ChunkStorage$$Lambda/0x000077d47d74df00.scanChunk(Unknown Source)
[00:22:50] [Paper Watchdog Thread/ERROR]: 		net.minecraft.world.level.levelgen.structure.StructureCheck.tryLoadFromStorage(StructureCheck.java:145)
[00:22:50] [Paper Watchdog Thread/ERROR]: 		net.minecraft.world.level.levelgen.structure.StructureCheck.checkStart(StructureCheck.java:103)
[00:22:50] [Paper Watchdog Thread/ERROR]: 		net.minecraft.world.level.StructureManager.checkStructurePresence(StructureManager.java:186)
[00:22:50] [Paper Watchdog Thread/ERROR]: 		net.minecraft.world.level.chunk.ChunkGenerator.getStructureGeneratingAt(ChunkGenerator.java:311)
[00:22:50] [Paper Watchdog Thread/ERROR]: 		net.minecraft.world.level.chunk.ChunkGenerator.getNearestGeneratedStructure(ChunkGenerator.java:288)
[00:22:50] [Paper Watchdog Thread/ERROR]: 		net.minecraft.world.level.chunk.ChunkGenerator.findNearestMapStructure(ChunkGenerator.java:193)
[00:22:50] [Paper Watchdog Thread/ERROR]: 		net.minecraft.server.commands.LocateCommand.locateStructure(LocateCommand.java:109)
[00:22:50] [Paper Watchdog Thread/ERROR]: 		net.minecraft.server.commands.LocateCommand.lambda$register$4(LocateCommand.java:65)
[00:22:50] [Paper Watchdog Thread/ERROR]: 		net.minecraft.server.commands.LocateCommand$$Lambda/0x000077d47cde4680.run(Unknown Source)
[00:22:50] [Paper Watchdog Thread/ERROR]: 		com.mojang.brigadier.context.ContextChain.runExecutable(ContextChain.java:73)
[00:22:50] [Paper Watchdog Thread/ERROR]: 		net.minecraft.commands.execution.tasks.ExecuteCommand.execute(ExecuteCommand.java:30)
[00:22:50] [Paper Watchdog Thread/ERROR]: 		net.minecraft.commands.execution.tasks.ExecuteCommand.execute(ExecuteCommand.java:13)
[00:22:50] [Paper Watchdog Thread/ERROR]: 		net.minecraft.commands.execution.UnboundEntryAction.lambda$bind$0(UnboundEntryAction.java:8)
[00:22:50] [Paper Watchdog Thread/ERROR]: 		net.minecraft.commands.execution.UnboundEntryAction$$Lambda/0x000077d47e0dd390.execute(Unknown Source)
[00:22:50] [Paper Watchdog Thread/ERROR]: 		net.minecraft.commands.execution.CommandQueueEntry.execute(CommandQueueEntry.java:5)
[00:22:50] [Paper Watchdog Thread/ERROR]: 		net.minecraft.commands.execution.ExecutionContext.runCommandQueue(ExecutionContext.java:105)
[00:22:50] [Paper Watchdog Thread/ERROR]: 		net.minecraft.commands.Commands.executeCommandInContext(Commands.java:451)
[00:22:50] [Paper Watchdog Thread/ERROR]: 		net.minecraft.commands.Commands.performCommand(Commands.java:357)
[00:22:50] [Paper Watchdog Thread/ERROR]: 		net.minecraft.commands.Commands.performCommand(Commands.java:345)
[00:22:50] [Paper Watchdog Thread/ERROR]: 		net.minecraft.server.network.ServerGamePacketListenerImpl.performUnsignedChatCommand(ServerGamePacketListenerImpl.java:2313)
[00:22:50] [Paper Watchdog Thread/ERROR]: 		net.minecraft.server.network.ServerGamePacketListenerImpl.lambda$handleChatCommand$12(ServerGamePacketListenerImpl.java:2286)
[00:22:50] [Paper Watchdog Thread/ERROR]: 		net.minecraft.server.network.ServerGamePacketListenerImpl$$Lambda/0x000077d47e487b40.run(Unknown Source)
[00:22:50] [Paper Watchdog Thread/ERROR]: 		net.minecraft.server.TickTask.run(TickTask.java:18)
[00:22:50] [Paper Watchdog Thread/ERROR]: 		net.minecraft.util.thread.BlockableEventLoop.doRunTask(BlockableEventLoop.java:155)
[00:22:50] [Paper Watchdog Thread/ERROR]: 		net.minecraft.util.thread.ReentrantBlockableEventLoop.doRunTask(ReentrantBlockableEventLoop.java:24)
[00:22:50] [Paper Watchdog Thread/ERROR]: 		net.minecraft.server.MinecraftServer.doRunTask(MinecraftServer.java:1449)
[00:22:50] [Paper Watchdog Thread/ERROR]: 		net.minecraft.server.MinecraftServer.doRunTask(MinecraftServer.java:176)
[00:22:50] [Paper Watchdog Thread/ERROR]: 		net.minecraft.util.thread.BlockableEventLoop.pollTask(BlockableEventLoop.java:129)
[00:22:50] [Paper Watchdog Thread/ERROR]: 		net.minecraft.server.MinecraftServer.pollTaskInternal(MinecraftServer.java:1429)
[00:22:50] [Paper Watchdog Thread/ERROR]: 		net.minecraft.server.MinecraftServer.pollTask(MinecraftServer.java:1423)
[00:22:50] [Paper Watchdog Thread/ERROR]: 		net.minecraft.util.thread.BlockableEventLoop.managedBlock(BlockableEventLoop.java:139)
[00:22:50] [Paper Watchdog Thread/ERROR]: 		net.minecraft.server.MinecraftServer.managedBlock(MinecraftServer.java:1380)
[00:22:50] [Paper Watchdog Thread/ERROR]: 		net.minecraft.server.MinecraftServer.waitUntilNextTick(MinecraftServer.java:1388)
[00:22:50] [Paper Watchdog Thread/ERROR]: 		net.minecraft.server.MinecraftServer.runServer(MinecraftServer.java:1265)
[00:22:50] [Paper Watchdog Thread/ERROR]: 		net.minecraft.server.MinecraftServer.lambda$spin$2(MinecraftServer.java:310)
[00:22:50] [Paper Watchdog Thread/ERROR]: 		net.minecraft.server.MinecraftServer$$Lambda/0x000077d47cf0a420.run(Unknown Source)
[00:22:50] [Paper Watchdog Thread/ERROR]: 		java.base@21.0.8/java.lang.Thread.runWith(Thread.java:1596)
[00:22:50] [Paper Watchdog Thread/ERROR]: 		java.base@21.0.8/java.lang.Thread.run(Thread.java:1583)
[00:22:50] [Paper Watchdog Thread/ERROR]: ------------------------------
[00:22:50] [Paper Watchdog Thread/ERROR]: --- DO NOT REPORT THIS TO PAPER - THIS IS NOT A BUG OR A CRASH ---
[00:22:50] [Paper Watchdog Thread/ERROR]: ------------------------------
[00:22:52] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 11794ms or 235 ticks behind
[00:23:46] [Server thread/INFO]: Singularity7k issued server command: /minecraft:locate structure #terralith:fortified_villages
[00:23:46] [Server thread/INFO]: Locating element #terralith:fortified_villages (terralith:fortified_village) took 26 ms
[00:23:48] [Server thread/INFO]: Singularity7k issued server command: /tp @s 2208 ~ -480
[00:23:49] [Server thread/INFO]: [Singularity7k: Set own game mode to Spectator Mode]
[00:24:41] [Server thread/INFO]: [Singularity7k: Set own game mode to Creative Mode]
[00:25:32] [Server thread/INFO]: [Not Secure] [Server] as
[00:26:38] [Server thread/INFO]: Villager Villager['Villager'/12132, uuid='dd086663-b1d5-4f69-bbff-e17c34229a6d', l='ServerLevel[world]', x=2189.49, y=66.42, z=-440.30, cpos=[136, -28], tl=3036, v=true] died, message: 'Villager was slain by Zombie'
[00:28:16] [Server thread/INFO]: [Singularity7k: Set own game mode to Spectator Mode]
[00:28:17] [Server thread/INFO]: [Singularity7k: Set own game mode to Creative Mode]
[00:32:26] [Server thread/INFO]: [Singularity7k: Set own game mode to Spectator Mode]
[00:32:57] [Netty Epoll Server IO #2/INFO]: Disconnecting Singularity7k for sending keepalive response (6737003) out-of-order!
[00:32:57] [Server thread/INFO]: Singularity7k lost connection: Timed out
[00:32:57] [Server thread/INFO]: [-] ||| Singularity7k ha salido del servidor
[00:33:00] [User Authenticator #1/INFO]: UUID of player Singularity7k is 23ea97aa-5595-43d3-992b-ad99c23b8dfa
[00:33:01] [Server thread/INFO]: [+] ||| Singularity7k ha entrado al servidor
[00:33:01] [Server thread/INFO]: Singularity7k[/100.101.18.82:50876] logged in with entity id 14368 at ([world]2240.51963497393, 77.69182560140985, -444.51641579984073)
[00:33:19] [Server thread/INFO]: [Not Secure] [Server] seeexo
[00:33:47] [Server thread/INFO]: [Singularity7k: Set own game mode to Creative Mode]
[00:34:23] [Server thread/INFO]: Villager Villager['Fletcher'/12526, uuid='33329b95-e478-4fdd-8dc4-f90e6f77e6b0', l='ServerLevel[world]', x=2399.50, y=-9.44, z=-352.50, cpos=[149, -23], tl=11178, v=true] died, message: 'Fletcher suffocated in a wall'
[00:34:23] [Server thread/INFO]: Villager Villager['Fletcher'/12523, uuid='6ac1b1bf-70cc-47aa-ad41-5951fb9650b8', l='ServerLevel[world]', x=2399.50, y=-9.44, z=-362.50, cpos=[149, -23], tl=11535, v=true] died, message: 'Fletcher suffocated in a wall'
[00:34:46] [Server thread/INFO]: Singularity7k issued server command: /execute in minecraft:overworld run tp Singularity7k 1549.5 67 -840.5
[00:34:49] [Server thread/INFO]: Singularity7k issued server command: /weather clear
[00:39:39] [Server thread/INFO]: Singularity7k issued server command: /minecraft:locate structure #terralith:mage_towers
[00:39:40] [Server thread/INFO]: Locating element #terralith:mage_towers (terralith:mage_tower) took 1071 ms
[00:39:42] [Server thread/INFO]: Singularity7k issued server command: /tp @s 3264 ~ 560
[00:39:43] [Server thread/INFO]: [Singularity7k: Set own game mode to Spectator Mode]
[00:41:52] [Server thread/INFO]: [Singularity7k: Set own game mode to Creative Mode]
[00:44:09] [Server thread/INFO]: [Singularity7k: Set own game mode to Spectator Mode]
[00:44:16] [Server thread/INFO]: [Singularity7k: Set own game mode to Creative Mode]
[00:44:25] [Server thread/INFO]: Singularity7k issued server command: /execute in minecraft:overworld run tp Singularity7k 1549.5 67 -840.5
[00:44:35] [Server thread/INFO]: Singularity7k issued server command: /minecraft:locate structure #terralith:rubble
[00:44:36] [Server thread/INFO]: Locating element #terralith:rubble (terralith:rubble_taiga) took 238 ms
[00:44:38] [Server thread/INFO]: Singularity7k issued server command: /tp @s 848 ~ -2016
[00:44:41] [Server thread/INFO]: [Singularity7k: Set own game mode to Spectator Mode]
[00:44:57] [Paper Common Worker #0/ERROR]: Block-attached entity at invalid position: BlockPos{x=-108, y=56, z=-39}
[00:46:47] [Server thread/INFO]: [Singularity7k: Set own game mode to Creative Mode]
[00:46:50] [Server thread/INFO]: [Singularity7k: Set own game mode to Spectator Mode]
[00:47:54] [Server thread/INFO]: [Singularity7k: Set own game mode to Creative Mode]
[00:48:00] [Server thread/INFO]: Singularity7k issued server command: /execute in minecraft:overworld run tp Singularity7k 1549.5 67 -840.5
[00:49:25] [Server thread/INFO]: Singularity7k issued server command: /minecraft:locate structure #terralith:underground
[00:49:25] [Server thread/INFO]: Locating element #terralith:underground (terralith:underground/mining_outpost) took 14 ms
[00:49:27] [Server thread/INFO]: Singularity7k issued server command: /tp @s 1856 ~ -688
[00:49:31] [Server thread/INFO]: [Singularity7k: Set own game mode to Spectator Mode]
[00:51:18] [Paper Common Worker #0/ERROR]: Recoverable errors when loading section [107, 3, -88]: (Unknown registry key in ResourceKey[minecraft:root / minecraft:worldgen/biome]: snc:village -> using default)
[00:51:18] [Paper Common Worker #0/ERROR]: Recoverable errors when loading section [107, 4, -88]: (Unknown registry key in ResourceKey[minecraft:root / minecraft:worldgen/biome]: snc:village -> using default)
[00:51:18] [Paper Common Worker #0/ERROR]: Recoverable errors when loading section [107, 5, -88]: (Unknown registry key in ResourceKey[minecraft:root / minecraft:worldgen/biome]: snc:village -> using default)
[00:51:19] [Paper Common Worker #0/ERROR]: Recoverable errors when loading section [107, 3, -89]: (Unknown registry key in ResourceKey[minecraft:root / minecraft:worldgen/biome]: snc:village -> using default)
[00:51:19] [Paper Common Worker #0/ERROR]: Recoverable errors when loading section [107, 4, -89]: (Unknown registry key in ResourceKey[minecraft:root / minecraft:worldgen/biome]: snc:village -> using default)
[00:51:19] [Paper Common Worker #0/ERROR]: Recoverable errors when loading section [107, 5, -89]: (Unknown registry key in ResourceKey[minecraft:root / minecraft:worldgen/biome]: snc:village -> using default)
[00:51:21] [Paper Common Worker #0/ERROR]: Recoverable errors when loading section [107, 3, -90]: (Unknown registry key in ResourceKey[minecraft:root / minecraft:worldgen/biome]: snc:village -> using default)
[00:51:21] [Paper Common Worker #0/ERROR]: Recoverable errors when loading section [107, 4, -90]: (Unknown registry key in ResourceKey[minecraft:root / minecraft:worldgen/biome]: snc:village -> using default)
[00:51:21] [Paper Common Worker #0/ERROR]: Recoverable errors when loading section [107, 5, -90]: (Unknown registry key in ResourceKey[minecraft:root / minecraft:worldgen/biome]: snc:village -> using default)
[00:51:21] [Paper Common Worker #0/ERROR]: Recoverable errors when loading section [106, 3, -88]: (Unknown registry key in ResourceKey[minecraft:root / minecraft:worldgen/biome]: snc:village -> using default)
[00:51:21] [Paper Common Worker #0/ERROR]: Recoverable errors when loading section [106, 4, -88]: (Unknown registry key in ResourceKey[minecraft:root / minecraft:worldgen/biome]: snc:village -> using default)
[00:51:21] [Paper Common Worker #0/ERROR]: Recoverable errors when loading section [106, 5, -88]: (Unknown registry key in ResourceKey[minecraft:root / minecraft:worldgen/biome]: snc:village -> using default)
[00:51:21] [Paper Common Worker #0/ERROR]: Recoverable errors when loading section [106, 3, -89]: (Unknown registry key in ResourceKey[minecraft:root / minecraft:worldgen/biome]: snc:village -> using default)
[00:51:21] [Paper Common Worker #0/ERROR]: Recoverable errors when loading section [106, 4, -89]: (Unknown registry key in ResourceKey[minecraft:root / minecraft:worldgen/biome]: snc:village -> using default)
[00:51:21] [Paper Common Worker #0/ERROR]: Recoverable errors when loading section [106, 5, -89]: (Unknown registry key in ResourceKey[minecraft:root / minecraft:worldgen/biome]: snc:village -> using default)
[00:51:21] [Paper Common Worker #0/ERROR]: Recoverable errors when loading section [106, 3, -90]: (Unknown registry key in ResourceKey[minecraft:root / minecraft:worldgen/biome]: snc:village -> using default)
[00:51:21] [Paper Common Worker #0/ERROR]: Recoverable errors when loading section [106, 4, -90]: (Unknown registry key in ResourceKey[minecraft:root / minecraft:worldgen/biome]: snc:village -> using default)
[00:51:21] [Paper Common Worker #0/ERROR]: Recoverable errors when loading section [106, 5, -90]: (Unknown registry key in ResourceKey[minecraft:root / minecraft:worldgen/biome]: snc:village -> using default)
[00:51:23] [Paper Common Worker #0/ERROR]: Recoverable errors when loading section [107, 3, -91]: (Unknown registry key in ResourceKey[minecraft:root / minecraft:worldgen/biome]: snc:village -> using default)
[00:51:23] [Paper Common Worker #0/ERROR]: Recoverable errors when loading section [107, 4, -91]: (Unknown registry key in ResourceKey[minecraft:root / minecraft:worldgen/biome]: snc:village -> using default)
[00:51:23] [Paper Common Worker #0/ERROR]: Recoverable errors when loading section [107, 5, -91]: (Unknown registry key in ResourceKey[minecraft:root / minecraft:worldgen/biome]: snc:village -> using default)
[00:51:23] [Paper Common Worker #0/ERROR]: Recoverable errors when loading section [106, 3, -91]: (Unknown registry key in ResourceKey[minecraft:root / minecraft:worldgen/biome]: snc:village -> using default)
[00:51:23] [Paper Common Worker #0/ERROR]: Recoverable errors when loading section [106, 4, -91]: (Unknown registry key in ResourceKey[minecraft:root / minecraft:worldgen/biome]: snc:village -> using default)
[00:51:23] [Paper Common Worker #0/ERROR]: Recoverable errors when loading section [106, 5, -91]: (Unknown registry key in ResourceKey[minecraft:root / minecraft:worldgen/biome]: snc:village -> using default)
[00:52:05] [Paper Common Worker #0/ERROR]: Recoverable errors when loading section [107, 3, -88]: (Unknown registry key in ResourceKey[minecraft:root / minecraft:worldgen/biome]: snc:village -> using default)
[00:52:05] [Paper Common Worker #0/ERROR]: Recoverable errors when loading section [107, 4, -88]: (Unknown registry key in ResourceKey[minecraft:root / minecraft:worldgen/biome]: snc:village -> using default)
[00:52:05] [Paper Common Worker #0/ERROR]: Recoverable errors when loading section [107, 5, -88]: (Unknown registry key in ResourceKey[minecraft:root / minecraft:worldgen/biome]: snc:village -> using default)
[00:52:05] [Paper Common Worker #0/ERROR]: Recoverable errors when loading section [107, 3, -89]: (Unknown registry key in ResourceKey[minecraft:root / minecraft:worldgen/biome]: snc:village -> using default)
[00:52:05] [Paper Common Worker #0/ERROR]: Recoverable errors when loading section [107, 4, -89]: (Unknown registry key in ResourceKey[minecraft:root / minecraft:worldgen/biome]: snc:village -> using default)
[00:52:05] [Paper Common Worker #0/ERROR]: Recoverable errors when loading section [107, 5, -89]: (Unknown registry key in ResourceKey[minecraft:root / minecraft:worldgen/biome]: snc:village -> using default)
[00:52:05] [Paper Common Worker #0/ERROR]: Recoverable errors when loading section [107, 3, -90]: (Unknown registry key in ResourceKey[minecraft:root / minecraft:worldgen/biome]: snc:village -> using default)
[00:52:05] [Paper Common Worker #0/ERROR]: Recoverable errors when loading section [107, 4, -90]: (Unknown registry key in ResourceKey[minecraft:root / minecraft:worldgen/biome]: snc:village -> using default)
[00:52:05] [Paper Common Worker #0/ERROR]: Recoverable errors when loading section [107, 5, -90]: (Unknown registry key in ResourceKey[minecraft:root / minecraft:worldgen/biome]: snc:village -> using default)
[00:52:05] [Paper Common Worker #0/ERROR]: Recoverable errors when loading section [107, 3, -91]: (Unknown registry key in ResourceKey[minecraft:root / minecraft:worldgen/biome]: snc:village -> using default)
[00:52:05] [Paper Common Worker #0/ERROR]: Recoverable errors when loading section [107, 4, -91]: (Unknown registry key in ResourceKey[minecraft:root / minecraft:worldgen/biome]: snc:village -> using default)
[00:52:05] [Paper Common Worker #0/ERROR]: Recoverable errors when loading section [107, 5, -91]: (Unknown registry key in ResourceKey[minecraft:root / minecraft:worldgen/biome]: snc:village -> using default)
[00:52:05] [Paper Common Worker #0/ERROR]: Recoverable errors when loading section [106, 3, -88]: (Unknown registry key in ResourceKey[minecraft:root / minecraft:worldgen/biome]: snc:village -> using default)
[00:52:05] [Paper Common Worker #0/ERROR]: Recoverable errors when loading section [106, 4, -88]: (Unknown registry key in ResourceKey[minecraft:root / minecraft:worldgen/biome]: snc:village -> using default)
[00:52:05] [Paper Common Worker #0/ERROR]: Recoverable errors when loading section [106, 5, -88]: (Unknown registry key in ResourceKey[minecraft:root / minecraft:worldgen/biome]: snc:village -> using default)
[00:52:05] [Paper Common Worker #0/ERROR]: Recoverable errors when loading section [106, 3, -89]: (Unknown registry key in ResourceKey[minecraft:root / minecraft:worldgen/biome]: snc:village -> using default)
[00:52:05] [Paper Common Worker #0/ERROR]: Recoverable errors when loading section [106, 4, -89]: (Unknown registry key in ResourceKey[minecraft:root / minecraft:worldgen/biome]: snc:village -> using default)
[00:52:05] [Paper Common Worker #0/ERROR]: Recoverable errors when loading section [106, 5, -89]: (Unknown registry key in ResourceKey[minecraft:root / minecraft:worldgen/biome]: snc:village -> using default)
[00:52:05] [Paper Common Worker #0/ERROR]: Recoverable errors when loading section [106, 3, -90]: (Unknown registry key in ResourceKey[minecraft:root / minecraft:worldgen/biome]: snc:village -> using default)
[00:52:05] [Paper Common Worker #0/ERROR]: Recoverable errors when loading section [106, 4, -90]: (Unknown registry key in ResourceKey[minecraft:root / minecraft:worldgen/biome]: snc:village -> using default)
[00:52:05] [Paper Common Worker #0/ERROR]: Recoverable errors when loading section [106, 5, -90]: (Unknown registry key in ResourceKey[minecraft:root / minecraft:worldgen/biome]: snc:village -> using default)
